ID,timeStart,max,min,quantile_95,median,quantile_05,UNIQUE_ID,type,synced
7,1742356231157.0,13.2985,3.2021,11.4313,8.6987,6.5658,2002117233,Braking,1
8,1742356240134.0,13.8541,5.1972,11.6936,9.8388,7.1081,2002117233,Acceleration,1
9,1742356247714.0,14.6129,4.069,12.4052,10.2057,7.2482,2002117233,Braking,1
10,1742356260804.0,13.8854,4.7734,12.4049,10.4275,7.455,2002117233,Acceleration,1
11,1742356295612.0,13.9886,3.8654,12.1474,9.9831,7.6014,2002117233,Braking,1
12,1742357795353.0,14.3507,2.5993,11.992,10.3055,7.7044,1457788001,Braking,1
13,1742357815611.0,14.8605,4.0536,12.7013,8.8239,6.0943,1457788001,Braking,1
14,1742357828963.0,15.1276,5.6414,13.0164,9.8806,6.6929,1457788001,Acceleration,1
15,1742357853852.0,14.6124,6.7898,12.8678,9.8574,7.2391,1457788001,Cornering,1
16,1742357868018.0,15.6153,5.3957,13.5139,9.9582,6.6401,1457788001,Cornering,1
17,1742357907552.0,17.484,1.5286,13.5567,8.4518,2.107,1457788001,Cornering,1
18,1742357859572.0,17.484,-2.4124,13.392,9.3755,4.02,1457788001,Acceleration,1
19,1742357962047.0,12.6919,-2.4124,9.8272,4.0933,0.9013,1457788001,Braking,1
20,1742357961676.0,12.6919,-2.4124,9.9725,5.5036,1.1583,1457788001,Cornering,1
21,1742357968325.0,10.7357,-1.7401,9.9086,8.6902,3.6209,1457788001,Acceleration,1
22,1742388100007.0,14.4801,0.7917,9.5927,5.3577,3.534,196542710,Acceleration,0
23,1742388100249.0,11.398,0.7917,9.4783,8.5001,4.3322,196542710,Cornering,0
24,1742388127693.0,10.3151,2.5791,9.7816,9.1235,5.2325,196542710,Cornering,0
32,1742391157215.0,10.0031,-0.4621,6.6277,4.006,0.8271,565024602,Cornering,0
33,1742391156970.0,10.0031,-0.8399,6.6277,3.8374,0.6547,565024602,Braking,0
34,1742391158982.0,22.7564,-0.4621,11.2669,9.1163,4.1448,565024602,Acceleration,0
35,1742391395899.0,19.1652,2.8975,12.7493,9.8574,6.1376,565024602,Braking,0
36,1742391396175.0,19.1652,2.8975,12.4486,9.9746,7.2095,565024602,Acceleration,0
37,1742391511672.0,15.6123,3.5593,13.0917,10.0502,7.6507,565024602,Acceleration,0
38,1742391510794.0,16.1225,3.3123,13.1641,9.9873,6.9166,565024602,Braking,0
39,1742391617893.0,14.1466,5.1065,11.8865,9.9442,7.8105,565024602,Acceleration,0
40,1742391762275.0,15.2471,4.2248,11.8105,9.931,8.3175,565024602,Cornering,0
41,1742392020402.0,16.8301,3.7164,11.9705,9.9844,7.6059,565024602,Cornering,0
42,1742392075280.0,15.8374,1.9995,12.0016,10.0934,7.8624,565024602,Cornering,0
43,1742392123402.0,14.8357,4.4238,12.4397,10.0398,7.2607,565024602,Cornering,0
44,1742392140042.0,22.308,2.0512,13.7098,10.037,6.1519,565024602,Acceleration,0
45,1742392134973.0,22.308,2.0512,12.9883,9.9982,6.8582,565024602,Cornering,0
46,1742392171111.0,16.4567,1.201,12.3326,9.9041,8.4161,565024602,Cornering,0
47,1742392209995.0,12.9921,-6.4046,11.704,8.5977,2.5395,565024602,Acceleration,0
48,1742392209816.0,16.0354,-6.4046,11.3055,9.3347,5.4298,565024602,Braking,0
49,1742392209929.0,12.9921,-6.4046,11.0746,9.3939,5.437,565024602,Cornering,0
50,1742392223173.0,12.2083,8.1719,11.0975,9.6412,8.666,565024602,Braking,0
51,1742392279984.0,13.9068,7.7598,12.0271,9.2339,8.0782,565024602,Cornering,0
52,1742392280946.0,13.9068,7.671,12.1221,9.4674,8.1095,565024602,Braking,0
53,1742392295754.0,14.0324,7.5471,12.2495,9.4461,8.3047,565024602,Cornering,0
54,1742392341028.0,13.4014,7.5708,12.186,9.4487,8.1166,565024602,Cornering,0
55,1742392344425.0,13.3955,8.2397,11.7052,9.6977,8.5502,565024602,Acceleration,0
56,1742392356054.0,11.0206,6.7176,10.1944,9.0475,7.1851,565024602,Acceleration,0
57,1742392356407.0,11.6988,6.0771,9.9993,8.8359,7.0473,565024602,Braking,0
58,1742392360544.0,11.6988,6.0771,9.9482,8.8543,7.6511,565024602,Acceleration,0
59,1742392355566.0,11.6988,6.0771,9.8919,9.2268,7.9517,565024602,Cornering,0
60,1742399814373.0,14.442,1.8764,11.1859,8.9332,5.8782,315396716,Acceleration,0
61,1742399831516.0,23.4787,1.0779,14.2622,9.9082,5.0762,315396716,Acceleration,0
62,1742399815543.0,23.4787,1.0779,11.9476,9.3775,6.8947,315396716,Cornering,0
63,1742399848145.0,20.6689,2.6229,11.8814,9.9138,7.4943,315396716,Cornering,0
64,1742399867459.0,15.5914,4.065,12.3466,9.9589,7.4334,315396716,Cornering,0
65,1742399881937.0,19.7302,1.2354,14.2687,9.832,6.2634,315396716,Cornering,0
66,1742399892937.0,17.5676,0.3693,13.819,10.0384,5.5169,315396716,Cornering,0
67,1742399903185.0,18.214,2.2443,12.6878,9.8389,6.3849,315396716,Cornering,0
68,1742399911160.0,13.729,4.1685,12.2582,10.0554,7.8519,315396716,Cornering,0
69,1742400104770.0,17.1055,4.897,12.3679,10.0671,7.3702,315396716,Cornering,0
70,1742400110295.0,15.1935,3.796,12.2292,10.1825,7.8968,315396716,Cornering,0
71,1742400138091.0,19.0747,4.2047,12.5444,9.9433,7.7446,315396716,Cornering,0
72,1742400245321.0,14.1581,3.1218,11.2401,8.9406,6.5569,315396716,Cornering,0
73,1742400242446.0,26.0229,3.1218,11.5633,9.3805,7.2826,315396716,Braking,0
74,1742400305616.0,14.4574,7.6231,11.9006,9.6,8.6022,315396716,Braking,0
75,1742400418254.0,17.5624,4.0911,12.5808,9.3268,7.254,315396716,Braking,0
76,1742400424280.0,20.0006,4.6498,10.9733,8.6995,7.084,315396716,Acceleration,0
77,1742400424231.0,20.0006,4.6498,10.4584,8.9859,7.3547,315396716,Cornering,0
78,1742400429732.0,20.0006,4.6498,9.8896,9.294,7.8464,315396716,Braking,0
79,1742400459932.0,15.8158,5.0466,11.7033,9.8985,7.8482,315396716,Braking,0
80,1742400464678.0,15.8158,5.0466,12.0244,9.8776,7.4574,315396716,Acceleration,0
81,1742400483590.0,14.6174,5.2572,12.2536,9.8854,7.2619,315396716,Braking,0
82,1742400498630.0,14.6174,5.2572,11.8146,9.9023,7.736,315396716,Acceleration,0
83,1742400507924.0,12.7693,6.3836,11.6517,9.887,7.9925,315396716,Braking,0
84,1742400524846.0,15.446,4.8272,12.3229,9.993,7.0284,315396716,Cornering,0
85,1742400528935.0,17.5465,3.2236,13.0823,9.9189,6.5738,315396716,Cornering,0
86,1742400520640.0,17.5465,3.2236,12.6208,9.8995,6.7498,315396716,Braking,0
87,1742400520169.0,17.5465,3.2236,12.5736,9.9099,6.7728,315396716,Acceleration,0
88,1742400552219.0,12.409,5.5913,11.1592,9.9769,7.9208,315396716,Acceleration,0
89,1742400563582.0,16.2445,2.158,12.9931,9.8585,5.1904,315396716,Braking,0
90,1742400566368.0,16.2445,2.158,13.5923,9.8871,5.0502,315396716,Acceleration,0
91,1742400571710.0,12.1899,7.392,10.9976,9.8256,8.4592,315396716,Acceleration,0
92,1742400588040.0,12.6242,6.0679,11.4317,9.8618,7.6858,315396716,Acceleration,0
93,1742400587733.0,13.5506,5.7052,11.672,9.8965,7.7692,315396716,Braking,0
94,1742400600936.0,15.5907,2.778,12.5225,9.8908,7.0276,315396716,Cornering,0
95,1742400600968.0,15.5907,2.778,12.5225,9.8914,7.0276,315396716,Braking,0
96,1742400599313.0,15.5907,2.778,12.4742,9.8914,7.0847,315396716,Acceleration,0
97,1742400609509.0,15.454,5.6449,12.7728,9.7808,7.2293,315396716,Braking,0
98,1742400611144.0,12.7728,6.2703,11.1641,9.8896,8.1806,315396716,Acceleration,0
99,1742400614733.0,12.5816,6.2703,11.4118,9.923,8.2926,315396716,Braking,0
100,1742400640745.0,14.0316,4.4978,11.8008,10.0225,7.9412,315396716,Braking,0
101,1742400667779.0,22.1323,0.9016,13.6657,9.9327,5.2536,315396716,Cornering,0
102,1742400667860.0,22.1323,0.9016,13.5007,9.9213,5.3214,315396716,Acceleration,0
103,1742400706616.0,18.7292,4.397,12.5251,9.7604,7.1906,315396716,Cornering,0
104,1742400666355.0,22.1323,0.9016,13.4597,9.9004,5.5569,315396716,Braking,0
105,1742400718169.0,18.751,4.429,12.9748,9.9591,6.9263,315396716,Cornering,0
106,1742400712540.0,18.751,4.429,12.5238,9.926,7.3019,315396716,Braking,0
107,1742400709789.0,18.751,4.429,12.2998,9.9127,7.5036,315396716,Acceleration,0
108,1742400727397.0,15.0419,5.2063,12.6067,9.8597,6.98,315396716,Braking,0
109,1742400736205.0,15.5585,4.5542,12.2368,9.8789,7.8754,315396716,Cornering,0
110,1742400732613.0,15.5585,4.5542,12.038,9.8685,7.9302,315396716,Braking,0
111,1742400739116.0,15.5585,4.5542,12.4736,9.9099,7.8711,315396716,Acceleration,0
112,1742400748086.0,13.0843,6.6831,11.7201,10.0144,8.0528,315396716,Braking,0
113,1742400755592.0,12.7901,5.3464,11.9647,9.9606,7.6696,315396716,Braking,0
114,1742400755512.0,13.0426,5.3464,11.9999,9.9792,7.353,315396716,Acceleration,0
115,1742400763617.0,14.0505,4.3073,11.7532,9.8533,7.7744,315396716,Acceleration,0
116,1742400770365.0,15.2879,2.5108,12.7868,10.0732,6.5592,315396716,Cornering,0
117,1742400768312.0,17.6321,1.1971,12.481,9.8722,7.1839,315396716,Acceleration,0
118,1742400768087.0,17.6321,1.1971,12.4482,9.827,7.268,315396716,Braking,0
119,1742400792045.0,12.7815,7.792,10.292,9.2853,8.2775,315396716,Acceleration,0
120,1742400933171.0,13.1206,3.243,10.6302,9.0859,6.6854,315396716,Cornering,0
121,1742400933188.0,14.4987,3.243,11.0693,9.4686,6.9996,315396716,Acceleration,0
122,1742400950454.0,18.8246,3.5703,13.076,9.8877,7.0675,315396716,Cornering,0
123,1742400956991.0,13.8472,6.7422,12.1816,10.0587,7.8537,315396716,Cornering,0
124,1742400964210.0,14.3626,5.535,12.1709,10.0687,7.9887,315396716,Cornering,0
125,1742401003732.0,10.8878,8.4963,9.7979,9.7064,9.1204,315396716,Braking,0
126,1742401023241.0,14.9751,6.2422,12.7213,8.8663,7.0267,315396716,Cornering,0
127,1742401022968.0,14.9751,5.5108,12.1792,9.2343,7.1162,315396716,Braking,0
128,1742439667277.0,17.54,3.6964,12.3774,9.8438,7.3122,1949307084,Acceleration,0
129,1742439656555.0,28.9951,2.6683,12.5384,9.8699,7.0762,1949307084,Cornering,0
130,1742439687331.0,15.8047,4.6878,13.3248,9.9533,6.3568,1949307084,Cornering,0
131,1742439696657.0,15.0405,4.895,12.0571,10.0279,7.648,1949307084,Cornering,0
132,1742439714424.0,12.5735,5.6354,12.2537,10.1106,6.6132,1949307084,Cornering,0
133,1742439765718.0,21.6713,0.8984,12.3327,9.85,7.3422,1949307084,Cornering,0
134,1742439812896.0,15.1489,5.8982,11.7508,9.9144,7.9364,1949307084,Cornering,0
135,1742439820584.0,12.8575,6.7304,10.9457,9.8487,8.5218,1949307084,Cornering,0
136,1742439829608.0,25.8928,2.6085,11.6396,9.9527,7.563,1949307084,Cornering,0
137,1742439838945.0,18.8969,4.004,12.0826,9.8663,7.4116,1949307084,Cornering,0
138,1742439847120.0,16.6264,5.2526,11.8707,9.8971,7.6197,1949307084,Cornering,0
139,1742439853880.0,14.3929,4.447,12.2491,9.8557,7.0259,1949307084,Cornering,0
140,1742439870186.0,17.4244,2.4122,12.5763,9.9394,7.2194,1949307084,Cornering,0
141,1742439900215.0,24.931,0.3117,14.6102,9.9876,4.9025,1949307084,Braking,0
142,1742439896013.0,24.931,0.3117,12.8415,9.9256,7.0116,1949307084,Cornering,0
143,1742439915151.0,18.0499,1.75,13.1554,9.8829,5.6517,1949307084,Cornering,0
144,1742439919797.0,15.8618,5.4261,12.0503,9.9853,7.0386,1949307084,Cornering,0
145,1742439973230.0,21.7475,-1.272,13.5396,9.9501,6.3376,1949307084,Acceleration,0
146,1742439931658.0,21.7475,-1.272,12.7886,9.9931,6.8517,1949307084,Cornering,0
147,1742439992326.0,14.3213,4.0852,12.3402,10.0932,6.9691,1949307084,Cornering,0
148,1742439997599.0,20.3994,3.5129,13.1172,10.1127,7.3117,1949307084,Cornering,0
149,1742440012450.0,15.8508,4.4802,12.2977,9.9296,7.0458,1949307084,Cornering,0
150,1742440035138.0,18.3787,1.8913,14.1211,9.7605,6.1573,1949307084,Cornering,0
151,1742440043854.0,20.8451,1.4056,14.4335,9.8247,5.5813,1949307084,Cornering,0
152,1742440056896.0,18.7043,1.7258,13.3081,9.9009,6.5663,1949307084,Cornering,0
153,1742440074201.0,21.1509,0.6793,13.3886,9.9511,5.7963,1949307084,Cornering,0
154,1742440113545.0,19.1385,1.6647,12.322,9.9006,6.9348,1949307084,Cornering,0
155,1742440133803.0,17.5344,5.5527,12.3021,9.906,7.5104,1949307084,Cornering,0
156,1742440165185.0,15.2707,4.6168,11.9918,9.7859,7.6458,1949307084,Cornering,0
157,1742440208074.0,14.9845,3.768,11.7002,9.8995,8.1545,1949307084,Cornering,0
158,1742440228135.0,13.3048,3.3561,11.6579,9.7437,7.002,1949307084,Acceleration,0
159,1742440244306.0,14.631,4.756,12.7848,10.018,7.593,1949307084,Braking,0
160,1742440245913.0,14.4721,5.3807,11.6412,9.9621,8.3169,1949307084,Acceleration,0
161,1742440261437.0,11.9329,5.8566,10.5754,9.2428,7.4556,1949307084,Braking,0
162,1742440260283.0,14.1153,5.3313,11.0712,9.6332,7.6482,1949307084,Cornering,0
163,1742440282292.0,13.7565,4.1988,11.5355,9.3167,7.3482,1949307084,Braking,0
164,1742440282132.0,16.8612,3.8372,12.5105,9.5818,7.0418,1949307084,Cornering,0
165,1742440287114.0,24.1409,-2.0512,12.8235,9.8069,6.7688,1949307084,Acceleration,0
166,1742440301734.0,24.1409,-2.0512,13.3122,9.921,6.308,1949307084,Braking,0
167,1742440317055.0,17.4674,3.1604,13.71,10.0261,5.8062,1949307084,Acceleration,0
168,1742440308627.0,24.1409,-2.0512,13.5351,9.9766,5.7348,1949307084,Cornering,0
169,1742440322113.0,16.2723,4.1582,12.631,9.8893,7.3745,1949307084,Braking,0
170,1742440328438.0,18.5916,2.6795,13.8817,10.131,5.3047,1949307084,Cornering,0
171,1742440328619.0,18.5916,2.6795,13.8817,10.1325,5.1114,1949307084,Braking,0
172,1742440326705.0,18.5916,1.4702,13.4962,9.9137,5.7017,1949307084,Acceleration,0
173,1742440333767.0,16.8935,1.4702,12.3917,9.8041,7.2685,1949307084,Braking,0
174,1742440344826.0,16.0974,5.5668,12.4182,10.0246,7.4111,1949307084,Acceleration,0
175,1742440367676.0,14.678,3.183,11.9015,9.9923,7.6563,1949307084,Cornering,0
176,1742440379648.0,20.0945,1.8087,12.2596,9.8974,6.338,1949307084,Acceleration,0
177,1742440384527.0,16.1618,2.6249,11.9379,9.826,7.803,1949307084,Acceleration,0
178,1742440414103.0,21.1291,0.144,15.5174,9.9215,4.3351,1949307084,Braking,0
179,1742440413599.0,21.1291,0.144,15.13,9.9245,4.5074,1949307084,Acceleration,0
180,1742440442748.0,28.0402,2.3596,14.2346,9.9222,6.0718,1949307084,Acceleration,0
181,1742440444425.0,28.0402,4.0022,13.2927,9.8961,6.424,1949307084,Braking,0
182,1742440455131.0,16.5591,4.2922,12.3124,9.9525,7.3028,1949307084,Acceleration,0
183,1742440456108.0,15.2794,5.4947,11.7882,9.9606,7.7616,1949307084,Braking,0
184,1742440464794.0,16.2467,3.618,12.6525,9.9538,6.5613,1949307084,Acceleration,0
185,1742440476175.0,17.1313,1.6103,13.1428,9.9496,6.9957,1949307084,Acceleration,0
186,1742440487880.0,17.8291,3.0555,12.3012,9.9746,7.1457,1949307084,Acceleration,0
187,1742440506274.0,17.4298,2.8154,13.2994,9.7994,5.3642,1949307084,Acceleration,0
188,1742440505160.0,20.4114,2.6621,13.5136,9.8794,5.3642,1949307084,Braking,0
189,1742440589397.0,11.013,8.6285,10.3499,9.5791,9.1225,1949307084,Cornering,0
190,1742440605250.0,15.697,3.0316,12.2716,9.8495,7.6001,1949307084,Acceleration,0
191,1742440648989.0,20.2285,-0.7059,12.6737,9.9186,5.6646,1949307084,Acceleration,0
192,1742440660400.0,17.7635,1.2932,13.9216,9.4875,5.0587,1949307084,Acceleration,0
193,1742440662137.0,17.7635,1.2932,13.5178,9.7073,5.3888,1949307084,Braking,0
194,1742440660480.0,17.7635,1.2932,13.1919,9.7477,5.4781,1949307084,Cornering,0
195,1742440681039.0,14.1281,1.3262,11.5116,8.8484,4.4792,1949307084,Braking,0
196,1742440682271.0,14.1281,1.3262,11.7617,9.6112,6.4513,1949307084,Cornering,0
197,1742440688185.0,13.0654,1.3262,11.6411,9.7219,7.9669,1949307084,Acceleration,0
198,1742440707630.0,13.8878,7.4482,11.9782,9.5798,7.8574,1949307084,Acceleration,0
199,1742440709022.0,13.8878,7.4482,11.9782,9.6783,8.0177,1949307084,Cornering,0
200,1742440724331.0,14.2215,7.0774,12.757,10.1988,7.4262,1949307084,Acceleration,0
201,1742440732320.0,19.4958,4.5887,13.1575,9.423,6.4989,1949307084,Acceleration,0
202,1742440723601.0,19.4958,4.5887,12.7371,9.8591,7.2896,1949307084,Cornering,0
203,1742440733988.0,12.9067,4.7837,11.1101,9.7972,8.3765,1949307084,Braking,0
204,1742440767166.0,13.9027,7.4044,12.1969,9.7942,8.1708,1949307084,Cornering,0
205,1742440802707.0,13.9186,5.5709,12.7861,9.7162,6.9754,1949307084,Acceleration,0
206,1742440821791.0,14.225,7.0957,12.5383,9.898,7.494,1949307084,Acceleration,0
207,1742440788440.0,14.6953,5.5709,12.6447,9.8692,7.4627,1949307084,Cornering,0
208,1742440842491.0,14.602,7.2987,13.2917,9.1274,7.6917,1949307084,Cornering,0
209,1742440852431.0,13.0737,7.606,12.0922,9.782,7.973,1949307084,Cornering,0
210,1742440865866.0,13.8582,7.8084,11.9779,9.7333,8.5544,1949307084,Cornering,0
211,1742440880744.0,11.1822,-2.6244,7.7085,2.2455,-0.3142,1949307084,Braking,0
212,1742440879037.0,20.0568,-2.6244,9.5935,7.2555,0.4811,1949307084,Acceleration,0
213,1742440879117.0,20.0568,-2.6244,9.4942,7.6245,0.6189,1949307084,Cornering,0
214,1742440984171.0,9.656,1.4372,8.1913,6.0651,2.3515,1949307084,Cornering,0
215,1742440991313.0,10.2486,4.2118,10.0699,9.1128,5.8987,1949307084,Cornering,0
216,1742440983993.0,11.3323,-17.8815,9.7468,7.0463,-5.9902,1949307084,Braking,0
217,1742441002610.0,12.166,-17.8815,9.2635,6.3167,-6.3747,1949307084,Acceleration,0
218,1742441007835.0,11.6016,0.2412,9.4526,6.8175,5.1987,1949307084,Braking,0
219,1742440999217.0,12.166,-17.8815,9.3547,6.916,-6.0911,1949307084,Cornering,0
220,1742441011603.0,15.0878,2.7818,9.1964,7.2602,3.605,1949307084,Acceleration,0
221,1742441019025.0,15.0878,2.7818,9.3628,5.9877,3.0776,1949307084,Braking,0
222,1742441019382.0,10.1649,2.7818,9.0703,7.0503,4.0768,1949307084,Cornering,0
223,1742441024070.0,10.1649,4.2919,9.4843,8.5746,5.4022,1949307084,Acceleration,0
